,Notes,Version
19,"Introducing our latest release of Firefox for Android — Firefox Daylight, dramatically redesigned to be faster, easy to use, customizable, and private.- Enhanced Tracking Protection on by default- Open as many tabs as you like and organize them into Collections- Get to Private Browsing Mode with just one tap- Ergonomic browsing with the bottom nav bar- Switch to Dark Mode- Video multitasking with Picture-in-Picture mode- Powered by the independent GeckoView engine",68.11.0
20,"We’re working to make Firefox for Android better with each new release. Read the release notes to learn about any new features, bug fixes, and performance improvements at https://www.mozilla.org/en-US/firefox/android/notes/.",2019.08.21
21, Quantum CSS improvements which improve page rendering times Faster scrolling due to treating touch event listeners as passive by default,2018.08.31
22, The new CSS engine introduced in the Firefox Quantum (57.0) desktop browser is now enabled in Firefox for Android,2018.06.21
23, Improved user experience on HTTP Live Streaming (HLS) media playback,2018.05.03
24, Added the ability for users to add websites to home screen like native applications Added support for FLAC (Free Lossless Audio Codec) playback Added Bengali from Bangladesh (bn-BD) and Nepali (ne-NP) locales Removed the Firefox Search widget from home screen,2018.03.12
25," A clean, modern visual refresh An all-new home page with quick access to top sites and recent history An experience designed in parallel with the new Firefox Quantum, our fast, modern desktop browser",2018.01.29
26, Android WebExtension API implemented Utilize hardware encoders & decoders for WebRTC to save power consumption and improve performance Support of Android 4.0 (API 15) ended,2017.11.14
27, New Greek and Lao locales Font size on web pages now uses system font size settings,2017.09.21
28, Added Bulgarian (bg) and Kabyle (kab) locales Improved bookmarks sync performance for Firefox for Android Improved stability during media playback,2017.08.08
29, Right to left language support,2017.06.13
30, Improved media controls Improved security with the “secure” cookie keyword (Strict Secure Cookies specification) Removed Battery Status API to reduce fingerprinting of users by trackers,2017.03.17
31, Use Skia library for content rendering,2017.02.09
32, Simplified panels by combining “Recent Tabs” into “History” panel Support of HLS videos via player overlay,2016.12.13
33," Remember scroll position and zoom level for open tabs Updated First Run to showcase several exciting features Outdated tabs are now hidden when restore tabs setting is set to ""Always restore""",2016.10.20
34, Suggest “Add to home screen” for frequently used websites Migrate reading list to bookmarks Video controls get a new look! Snazzy,2016.06.07
